itemName,itemUrl,itemProgress,itemProgresst
Excel图表：20种最常见图表制作,https://study.163.com/course/courseMain.htm?courseId=1004770005,,
设计美术,https://study.163.com/course/courseMain.htm?courseId=1006191028,,
Axure高保真原型：APP设计制作（已官方认证）,https://study.163.com/course/courseMain.htm?courseId=1083029,,
收割offer的7堂课,https://study.163.com/course/courseMain.htm?courseId=1003455007,,
网易Linux微专业直播答疑,https://study.163.com/course/courseMain.htm?courseId=1004820003,,
网络安全从入门到进阶,https://study.163.com/course/courseMain.htm?courseId=1006417034,,
跟码农学Excel 2019,https://study.163.com/course/courseMain.htm?courseId=1006466026,,
Excel职场痛点之数据整理,https://study.163.com/course/courseMain.htm?courseId=1005595003,,
顶尖职业精英心态修炼-征服老板搞定客户,https://study.163.com/course/courseMain.htm?courseId=669019,,
邢不行—量化小讲堂,https://study.163.com/course/courseMain.htm?courseId=1209095813,0,0
Excel信息图表-让图表说话,https://study.163.com/course/courseMain.htm?courseId=1209016807,,
生涯规划咨询师教你如何修改简历,https://study.163.com/course/courseMain.htm?courseId=1005114013,,
易经（第二季）永久,https://study.163.com/course/courseMain.htm?courseId=1002967016,,
战略级生涯规划,https://study.163.com/course/courseMain.htm?courseId=1006130019,,
如何制作数据分析师简历,https://study.163.com/course/courseMain.htm?courseId=1003621008,,
选对职业赚大钱-职业生涯规划,https://study.163.com/course/courseMain.htm?courseId=1002842010,,
AutoCAD三维建模全套视频教程,https://study.163.com/course/courseMain.htm?courseId=1005414007,,
Python Django 快速Web开发入门,https://study.163.com/course/courseMain.htm?courseId=320022,,
CAD2004 05 06 从入门到精通,https://study.163.com/course/courseMain.htm?courseId=1003224024,,
AutoCAD2014 快速入门自学教程,https://study.163.com/course/courseMain.htm?courseId=385002,,
CAD快速入门 室内设计精品自学教程,https://study.163.com/course/courseMain.htm?courseId=1004725030,,
三节课，让职业发展快人一步,https://study.163.com/course/courseMain.htm?courseId=1209332911,,
重构你喜爱的人生,https://study.163.com/course/courseMain.htm?courseId=1002869005,,
事业规划重要性、运维前景和技能,https://study.163.com/course/courseMain.htm?courseId=1208888809,,
EDP：职业生涯规划与事业发展,https://study.163.com/course/courseMain.htm?courseId=1003599028,,
格局致胜,https://study.163.com/course/courseMain.htm?courseId=1002715002,,
教你写文案 练成标题党,https://study.163.com/course/courseMain.htm?courseId=1003001010,,
用思维导图认识国内金融机构,https://study.163.com/course/courseMain.htm?courseId=1003701007,,
重拾意志力,https://study.163.com/course/courseMain.htm?courseId=1002839014,,
别说你懂葡萄酒,https://study.163.com/course/courseMain.htm?courseId=1443005,,
变化时代IT项目经理的成长要求,https://study.163.com/course/courseMain.htm?courseId=1455004,,
成为IT项目经理必须要跨过的坎！,https://study.163.com/course/courseMain.htm?courseId=1002730007,,
IT项目管理[深入浅出],https://study.163.com/course/courseMain.htm?courseId=1064005,,
物业管理全生命周期,https://study.163.com/course/courseMain.htm?courseId=1209168866,,
提升形象做一个“性感”男人,https://study.163.com/course/courseMain.htm?courseId=1005456031,,
咪蒙的新媒体爆款文案之道,https://study.163.com/course/courseMain.htm?courseId=1003204047,,
Project实战教程,https://study.163.com/course/courseMain.htm?courseId=1003672037,,
易经（第一季）永久,https://study.163.com/course/courseMain.htm?courseId=1002962051,,
小资金快速翻十倍的炒股实战课,https://study.163.com/course/courseMain.htm?courseId=1006443007,,
打造成功职场形象,https://study.163.com/course/courseMain.htm?courseId=1005100003,,
提升个人魅力，从个人品牌开始！,https://study.163.com/course/courseMain.htm?courseId=1004077037,,
科研中的哲学问题和套路实例,https://study.163.com/course/courseMain.htm?courseId=1003151013,,
工作中常用数据分析方法,https://study.163.com/course/courseMain.htm?courseId=1616001,,
60分钟+，零基础玩转动态仪表盘,https://study.163.com/course/courseMain.htm?courseId=1209120807,,
Excel2013 商务图表制作高级教程,https://study.163.com/course/courseMain.htm?courseId=1084018,,
数据分析师（Excel+SQL）直播课,https://study.163.com/course/courseMain.htm?courseId=1005117028,,
PS零基础入门进阶中级/职业提升,https://study.163.com/course/courseMain.htm?courseId=1006015232,,
企业制度化建设技巧课程,https://study.163.com/course/courseMain.htm?courseId=1006222001,,
Vue.js入门,https://study.163.com/course/courseMain.htm?courseId=1006379104,0,0
如何更快速的胜任财务工作,https://study.163.com/course/courseMain.htm?courseId=1003283024,,
